time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-18T03:51:21.820Z,36.0815,-117.6446667,0.75,1.01,ml,12,88,0.1124,0.15,ci,ci37533626,2019-02-18T03:54:55.930Z,"28km E of Coso Junction, CA",earthquake,0.26,0.61,0.184,9,automatic,ci,ci
2019-02-18T03:49:11.710Z,33.0385,-116.4223333,6.88,1.53,ml,37,69,0.1461,0.21,ci,ci37533618,2019-02-18T04:00:06.940Z,"17km ESE of Julian, CA",earthquake,0.32,1.04,0.213,27,automatic,ci,ci
2019-02-18T03:42:04.728Z,51.7054,-179.9963,183.3,4.8,mb,,,,0.81,ak,ak019293dbh5,2019-02-18T03:50:18.402Z,"38km SE of Semisopochnoi Island, Alaska",earthquake,,3.8,,,automatic,ak,ak
2019-02-18T03:41:43.910Z,51.1899,179.3535,35,4.8,mb,,135,2.281,0.96,us,us2000jjfh,2019-02-18T03:59:11.040Z,"86km SSW of Semisopochnoi Island, Alaska",earthquake,7.9,2,0.032,297,reviewed,us,us
2019-02-18T03:31:06.133Z,62.5949,-145.4149,82,2.4,ml,,,,1.15,ak,ak019293ay90,2019-02-18T03:34:24.655Z,"54km N of Glennallen, Alaska",earthquake,,1.7,,,automatic,ak,ak
2019-02-18T03:22:23.770Z,18.9798,-104.4178,35,4.7,mb,,108,3.085,1.28,us,us2000jjf4,2019-02-18T11:08:13.854Z,"13km SW of Manzanillo, Mexico",earthquake,8.2,1.9,0.03,330,reviewed,us,us
2019-02-18T03:14:45.760Z,33.4913333,-116.7985,2.24,1.09,ml,39,35,0.02104,0.24,ci,ci37533610,2019-02-18T03:18:37.233Z,"8km NE of Aguanga, CA",earthquake,0.23,0.39,0.129,29,automatic,ci,ci
2019-02-18T03:11:59.691Z,60.9421,-149.5957,27.1,2,ml,,,,0.5,ak,ak0192936sht,2019-02-18T03:18:11.253Z,"34km SSE of Anchorage, Alaska",earthquake,,0.2,,,automatic,ak,ak
2019-02-18T03:06:45.780Z,53.8346,159.864,68.98,4.5,mb,,152,1.09,1.35,us,us2000jjf1,2019-02-18T03:40:00.040Z,"119km NE of Petropavlovsk-Kamchatskiy, Russia",earthquake,10.9,9.2,0.096,32,reviewed,us,us
2019-02-18T03:05:21.568Z,37.0213,-117.2938,10.6,1,ml,12,173.78,0.28,0.1194,nn,nn00678127,2019-02-18T04:47:34.259Z,"49km WNW of Beatty, Nevada",earthquake,,5.6,0.41,8,reviewed,nn,nn
2019-02-18T02:51:38.920Z,36.5653343,-121.1119995,10.37,1.9,md,15,120,0.05515,0.04,nc,nc73143261,2019-02-18T03:22:05.134Z,"5km NE of Pinnacles, CA",earthquake,0.38,0.63,0.24,13,automatic,nc,nc
